id,text,label1,label2,label3
N1021,牙牙卡卡竟然對這篇起反應,0,0,0
N282,就是因為有人這樣想，然後去開車，然後路上才會塞,0,0,0
N1228,大概是雙吧 進化人種,0,0,0
A134,明年也預計要去英國唸書，超想找像這種有小廚房的套房,1,0,0
B156,價值觀 不合 的 話 ， 別 說 彼此 分享 生活 開心 的 聊天 了 ， 就 連 溝通 都 很 難 ,0,1,0
N1652,機器人也怕滑倒,0,0,0
N1417,沒有關鍵字，無法修護,0,0,0
N1333,館長vs館長,0,0,0
N1092,太誇張了 真的,0,0,0
B233,你 覺得 讀 大學 有用 嗎 ? ,0,1,0
N601,可以去賭場削一筆 但要記得給他吃正確的巧克力,0,0,0
N1779,看看韓國好嗎  … 台灣甚麼贏過韓國,0,0,0
N379,熱狗 鹽酥雞 雞心 魷魚  芋頭條 杏鮑菇,0,0,0
N732,打電話問李逍遙問看看~~~~~~~~,0,0,0
N223,沒別的事可做了？？,0,0,0
N795,一葛竹圍肥宅虎爛出來的都市傳說,0,0,0
N1289,你沒有妹妹,0,0,0
N861,大貓迷姦 我知道你想釣這個關鍵字,0,0,0
N1720,好喔!請支持廢除死刑!,0,0,0
N1439,宵夜我覺得就很好了...再來就是不要吵他吧~,0,0,0
N806,看著旁邊正妹邊打手槍邊睡,0,0,0
N390,應該問哪個流派 巴爾死最快,0,0,0
N72,牛番茄的種子像貓屎咖啡一樣都是拉出來的,0,0,0
A71,包包 很 好看 ～～ ！ ,1,0,0
N675,沒本事去美國的魯蛇又要開始眼紅？,0,0,0
N582,到場後老闆就拉你到廁所 把拉鏈拉下 QQ,0,0,0
N1574,留學版有一葛人的故事很有名,0,0,0
B290,這真的太扯了,0,1,0
N1718,反正台灣就這樣嘛 無所謂了啦,0,0,0
N1669,身邊都是姆咪素質比較低,0,0,0
N1823,各位要小心 已有集團開始掠奪懶覺了,0,0,0
N514,當然是A T只是走在她後面想辦法努力追而已,0,0,0
N1453,要教語文就好好教，不要把語言跟文學搞在一起,0,0,0
N1205,要注意一下，我表姐之前也是這樣，然後他,0,0,0
N697,台灣天團 蹦蛙娛樂,0,0,0
N766,喜歡你溫暖的問卦,0,0,0
N742,喂 國人？,0,0,0
N1756,未看先猜是john nash的故事,0,0,0
N863,主題曲催下去！,0,0,0
N1247,新聞 四成大學生無戀愛經驗,0,0,0
N43,該停止往,0,0,0
A13,我今天遇到一個超怪的人,1,0,0
